Age,Gender,MaritalStatus,AvgIncome,NumberOfPatients
17,Female,Married,85244.73692617871,296107
17,Female,Single,85117.51869290232,298830
17,Male,Married,84838.71104933196,159349
17,Male,Single,84964.09499444385,159283
18,Female,Married,84935.38253815658,453526
18,Female,Single,84688.15235244727,451381
18,Male,Married,85130.07977113733,244863
18,Male,Single,84671.22689506196,243963
19,Female,Married,84971.10298221311,451175
19,Female,Single,84986.19865892055,455454
19,Male,Married,85151.44560067543,243992
19,Male,Single,85154.27943452308,244254
20,Female,Married,84822.9693407216,457121
20,Female,Single,85038.03452422038,454927
20,Male,Married,84972.08585266232,243848
20,Male,Single,84919.26286595264,245182
21,Female,Married,85018.41429413746,451136
21,Female,Single,84881.92956306263,452788
21,Male,Married,85096.4873851377,243879
21,Male,Single,85127.35564637258,245671
22,Female,Married,85104.78198463227,455500
22,Female,Single,84957.07873533077,451881
22,Male,Married,84940.68216767098,242952
22,Male,Single,85095.72175037155,242897
23,Female,Married,85024.45145196762,453798
23,Female,Single,84976.54628799071,454848
23,Male,Married,85111.97068402573,243792
23,Male,Single,85227.28236463071,245569
24,Female,Married,84842.65841891179,453093
24,Female,Single,85016.04358950123,454949
24,Male,Married,84948.96116770328,245028
24,Male,Single,84964.42120196238,244600
25,Female,Married,84945.69771748967,453010
25,Female,Single,84824.23948056441,450951
25,Male,Married,84852.62659553415,242552
25,Male,Single,85129.80238538401,244992
26,Female,Married,85201.96903666183,453278
26,Female,Single,84994.31063776086,451674
26,Male,Married,85093.2060493432,243762
26,Male,Single,85060.16744381483,245127
27,Female,Married,85006.77179770275,455587
27,Female,Single,85133.41713309076,453450
27,Male,Married,85029.06128562376,243026
27,Male,Single,85208.41799999181,244189
28,Female,Married,84988.9428264922,454896
28,Female,Single,85037.89635754524,454611
28,Male,Married,85038.4963568749,244433
28,Male,Single,84795.45875481129,244477
29,Female,Married,85103.83066768553,451485
29,Female,Single,85119.3746938198,452348
29,Male,Married,84715.44427474002,242906
29,Male,Single,84859.65571433281,242688
30,Female,Married,84965.86658486979,452340
30,Female,Single,85013.81518801997,450750
30,Male,Married,85010.89160156647,245391
30,Male,Single,85080.78652229268,245843
31,Female,Married,84894.15215399524,454040
