SocialMediaUsage,WorkingHours,GamingFrequency,SleepPatterns,VisitCount
Addicted,0,Rarely,Insufficient,73332
Addicted,1,Often,Insufficient,73534
Addicted,1,Sometimes,Insufficient,74044
Addicted,2,Rarely,Insufficient,74308
Addicted,3,Often,Insufficient,73409
Addicted,3,Sometimes,Insufficient,73694
Addicted,4,Rarely,Insufficient,73407
Addicted,5,Often,Insufficient,73300
Addicted,5,Sometimes,Insufficient,73342
Addicted,6,Rarely,Insufficient,73299
Addicted,7,Often,Insufficient,73148
Addicted,7,Sometimes,Insufficient,73035
Addicted,8,Rarely,Insufficient,73462
Addicted,9,Often,Insufficient,73133
Addicted,9,Sometimes,Insufficient,73056
Addicted,10,Rarely,Insufficient,73515
Addicted,11,Often,Insufficient,73363
Addicted,11,Sometimes,Insufficient,73605
Addicted,12,Rarely,Insufficient,74058
Addicted,13,Often,Insufficient,73434
Addicted,13,Sometimes,Insufficient,73312
Addicted,14,Rarely,Insufficient,72678
Addicted,15,Often,Insufficient,73459
Addicted,15,Sometimes,Insufficient,73645
Addicted,16,Rarely,Insufficient,73323
Heavy,0,Often,Insufficient,73963
Heavy,0,Sometimes,Insufficient,73684
Heavy,1,Rarely,Insufficient,73411
Heavy,2,Often,Insufficient,73431
Heavy,2,Sometimes,Insufficient,73203
Heavy,3,Rarely,Insufficient,73749
Heavy,4,Often,Insufficient,73074
Heavy,4,Sometimes,Insufficient,73725
Heavy,5,Rarely,Insufficient,73520
Heavy,6,Often,Insufficient,73590
Heavy,6,Sometimes,Insufficient,73355
Heavy,7,Rarely,Insufficient,73550
Heavy,8,Often,Insufficient,73098
Heavy,8,Sometimes,Insufficient,73700
Heavy,9,Rarely,Insufficient,73153
Heavy,10,Often,Insufficient,73457
Heavy,10,Sometimes,Insufficient,74001
Heavy,11,Rarely,Insufficient,73366
Heavy,12,Often,Insufficient,73880
Heavy,12,Sometimes,Insufficient,73934
Heavy,13,Rarely,Insufficient,73616
