Year,GeneralHealthStatus,PatientCount
2000,Good,769269
2000,Fair,769320
2000,Poor,770036
2001,Good,769258
2001,Fair,769635
2001,Poor,768786
2002,Good,769548
2002,Fair,769102
2002,Poor,769847
2003,Good,767555
2003,Fair,767702
2003,Poor,769656
2004,Good,769589
2004,Fair,769199
2004,Poor,771015
2005,Good,770182
2005,Fair,769817
2005,Poor,767630
2006,Good,769204
2006,Fair,769394
2006,Poor,768466
2007,Good,768917
2007,Fair,770032
2007,Poor,768221
2008,Good,769671
2008,Fair,771150
2008,Poor,769067
2009,Good,769254
2009,Fair,768606
2009,Poor,769719
2010,Good,771637
2010,Fair,770683
2010,Poor,768761
2011,Good,768024
2011,Fair,768813
2011,Poor,769118
2012,Good,768742
2012,Fair,771706
2012,Poor,769433
2013,Good,769398
2013,Fair,767993
2013,Poor,770472
2014,Good,769647
2014,Fair,769740
2014,Poor,769969
2015,Good,766946
2015,Fair,768674
2015,Poor,769339
2016,Good,769877
2016,Fair,769067
2016,Poor,768923
2017,Good,768748
2017,Fair,768718
2017,Poor,770308
2018,Good,768763
2018,Fair,767934
2018,Poor,769648
2019,Good,769151
2019,Fair,769154
2019,Poor,770139
2020,Good,770247
2020,Fair,768487
2020,Poor,768451
2021,Good,770378
2021,Fair,770144
2021,Poor,769657
2022,Good,769329
2022,Fair,769098
2022,Poor,769530
2023,Good,769093
2023,Fair,769582
2023,Poor,769570
2024,Good,768781
2024,Fair,768484
2024,Poor,768246
2025,Good,767293
2025,Fair,768624
2025,Poor,767595
