Year,StressLevel,BurnoutLevel,DepressionLevel,TotalVisit
2000,1,1,1,85620
2000,1,1,2,85037
2000,1,1,3,85416
2000,1,2,1,85344
2000,1,2,2,85251
2000,1,2,3,85214
2000,1,3,1,85932
2000,1,3,2,85531
2000,1,3,3,85932
2000,2,1,1,85401
2000,2,1,2,84635
2000,2,1,3,85010
2000,2,2,1,85483
2000,2,2,2,85994
2000,2,2,3,85522
2000,2,3,1,85583
2000,2,3,2,85381
2000,2,3,3,85061
2000,3,1,1,85671
2000,3,1,2,85633
2000,3,1,3,85457
2000,3,2,1,85676
2000,3,2,2,85383
2000,3,2,3,86007
2000,3,3,1,85936
2000,3,3,2,85871
2000,3,3,3,85644
2001,1,1,1,85554
2001,1,1,2,85576
2001,1,1,3,85334
2001,1,2,1,85850
2001,1,2,2,85698
2001,1,2,3,85357
2001,1,3,1,85267
2001,1,3,2,85452
2001,1,3,3,85325
2001,2,1,1,85035
2001,2,1,2,85231
2001,2,1,3,85861
2001,2,2,1,85373
2001,2,2,2,85547
2001,2,2,3,85467
2001,2,3,1,85526
2001,2,3,2,85126
2001,2,3,3,85326
2001,3,1,1,86028
2001,3,1,2,85573
2001,3,1,3,85440
2001,3,2,1,84775
2001,3,2,2,85818
2001,3,2,3,85510
2001,3,3,1,85396
2001,3,3,2,85670
2001,3,3,3,85564
2002,1,1,1,86112
2002,1,1,2,85312
2002,1,1,3,85591
2002,1,2,1,84959
2002,1,2,2,85951
2002,1,2,3,85571
2002,1,3,1,85348
2002,1,3,2,85216
2002,1,3,3,85225
2002,2,1,1,85290
2002,2,1,2,85649
2002,2,1,3,85689
2002,2,2,1,85333
2002,2,2,2,85079
2002,2,2,3,85403
2002,2,3,1,85203
2002,2,3,2,85529
2002,2,3,3,85482
2002,3,1,1,85476
2002,3,1,2,85808
2002,3,1,3,85696
2002,3,2,1,85712
2002,3,2,2,85511
2002,3,2,3,85278
2002,3,3,1,85974
2002,3,3,2,85506
2002,3,3,3,85594
2003,1,1,1,85584
2003,1,1,2,86190
2003,1,1,3,84967
2003,1,2,1,85585
2003,1,2,2,85193
2003,1,2,3,85059
2003,1,3,1,85398
2003,1,3,2,85021
2003,1,3,3,86160
2003,2,1,1,85200
2003,2,1,2,85809
2003,2,1,3,85291
2003,2,2,1,85018
2003,2,2,2,85780
2003,2,2,3,85101
2003,2,3,1,85124
2003,2,3,2,85233
2003,2,3,3,85338
2003,3,1,1,85170
2003,3,1,2,85138
2003,3,1,3,85175
2003,3,2,1,85562
2003,3,2,2,85304
2003,3,2,3,85422
2003,3,3,1,85360
2003,3,3,2,85691
2003,3,3,3,85040
2004,1,1,1,86024
2004,1,1,2,84841
2004,1,1,3,85119
2004,1,2,1,85402
2004,1,2,2,85871
2004,1,2,3,85181
2004,1,3,1,85613
2004,1,3,2,85616
2004,1,3,3,85579
2004,2,1,1,85514
2004,2,1,2,85637
2004,2,1,3,85076
2004,2,2,1,85973
2004,2,2,2,85866
2004,2,2,3,85606
2004,2,3,1,85475
2004,2,3,2,85524
2004,2,3,3,85708
2004,3,1,1,85226
2004,3,1,2,85905
2004,3,1,3,85820
2004,3,2,1,85891
2004,3,2,2,85546
2004,3,2,3,85499
2004,3,3,1,85170
2004,3,3,2,85592
2004,3,3,3,85529
2005,1,1,1,85785
2005,1,1,2,85154
2005,1,1,3,85178
2005,1,2,1,85326
2005,1,2,2,85665
2005,1,2,3,85625
2005,1,3,1,85605
2005,1,3,2,85390
2005,1,3,3,85557
2005,2,1,1,85013
2005,2,1,2,85246
2005,2,1,3,85151
2005,2,2,1,85076
2005,2,2,2,85762
2005,2,2,3,85734
2005,2,3,1,85917
2005,2,3,2,84715
2005,2,3,3,85311
2005,3,1,1,85590
2005,3,1,2,85860
2005,3,1,3,85593
2005,3,2,1,85745
2005,3,2,2,85594
2005,3,2,3,85774
2005,3,3,1,85625
2005,3,3,2,84985
2005,3,3,3,85653
2006,1,1,1,85157
2006,1,1,2,85633
2006,1,1,3,85422
2006,1,2,1,85543
2006,1,2,2,84879
2006,1,2,3,85922
2006,1,3,1,85257
2006,1,3,2,85335
2006,1,3,3,85446
2006,2,1,1,85409
2006,2,1,2,85051
2006,2,1,3,85212
2006,2,2,1,85356
2006,2,2,2,85621
2006,2,2,3,86003
2006,2,3,1,85311
2006,2,3,2,85279
2006,2,3,3,85875
2006,3,1,1,85410
2006,3,1,2,85518
2006,3,1,3,85845
2006,3,2,1,85066
2006,3,2,2,85984
2006,3,2,3,85532
2006,3,3,1,85406
2006,3,3,2,85077
2006,3,3,3,85515
2007,1,1,1,85742
2007,1,1,2,85524
2007,1,1,3,85225
2007,1,2,1,85316
2007,1,2,2,85598
2007,1,2,3,85941
2007,1,3,1,85730
2007,1,3,2,85256
2007,1,3,3,84923
2007,2,1,1,85903
2007,2,1,2,85133
2007,2,1,3,85522
2007,2,2,1,85888
2007,2,2,2,85580
2007,2,2,3,85303
2007,2,3,1,85134
2007,2,3,2,85549
2007,2,3,3,85382
2007,3,1,1,85403
2007,3,1,2,85983
2007,3,1,3,85101
2007,3,2,1,85345
2007,3,2,2,85369
2007,3,2,3,85545
2007,3,3,1,85500
2007,3,3,2,85457
2007,3,3,3,84818
2008,1,1,1,85475
2008,1,1,2,85077
2008,1,1,3,86018
2008,1,2,1,85432
2008,1,2,2,85096
2008,1,2,3,85534
2008,1,3,1,85768
2008,1,3,2,85641
2008,1,3,3,85904
2008,2,1,1,85950
2008,2,1,2,85835
2008,2,1,3,85549
2008,2,2,1,85151
2008,2,2,2,85142
2008,2,2,3,85877
2008,2,3,1,85582
2008,2,3,2,85592
2008,2,3,3,84892
2008,3,1,1,85466
2008,3,1,2,85418
2008,3,1,3,85520
2008,3,2,1,85518
2008,3,2,2,85634
2008,3,2,3,86089
2008,3,3,1,85406
2008,3,3,2,85975
2008,3,3,3,85347
2009,1,1,1,85382
2009,1,1,2,85359
2009,1,1,3,85184
2009,1,2,1,85426
2009,1,2,2,84904
2009,1,2,3,84665
2009,1,3,1,85800
2009,1,3,2,85385
2009,1,3,3,85614
2009,2,1,1,85754
2009,2,1,2,85520
2009,2,1,3,85010
2009,2,2,1,85759
2009,2,2,2,85930
2009,2,2,3,85404
2009,2,3,1,85344
2009,2,3,2,85446
2009,2,3,3,85782
2009,3,1,1,85834
2009,3,1,2,85451
2009,3,1,3,85980
2009,3,2,1,85581
2009,3,2,2,85541
2009,3,2,3,85476
2009,3,3,1,85286
2009,3,3,2,85182
2009,3,3,3,85580
2010,1,1,1,85468
2010,1,1,2,85982
2010,1,1,3,85451
2010,1,2,1,85871
2010,1,2,2,85981
2010,1,2,3,85443
2010,1,3,1,85991
2010,1,3,2,85302
2010,1,3,3,85412
2010,2,1,1,85591
2010,2,1,2,85605
2010,2,1,3,85561
2010,2,2,1,85318
2010,2,2,2,85527
2010,2,2,3,85415
2010,2,3,1,85910
2010,2,3,2,85444
2010,2,3,3,85325
2010,3,1,1,85814
2010,3,1,2,85692
2010,3,1,3,85744
2010,3,2,1,85313
2010,3,2,2,85508
2010,3,2,3,85309
2010,3,3,1,85787
2010,3,3,2,85618
2010,3,3,3,85699
2011,1,1,1,85290
2011,1,1,2,84992
2011,1,1,3,85287
2011,1,2,1,85009
2011,1,2,2,85469
2011,1,2,3,85884
2011,1,3,1,85585
2011,1,3,2,85567
2011,1,3,3,85805
2011,2,1,1,85051
2011,2,1,2,85237
2011,2,1,3,85541
2011,2,2,1,85361
2011,2,2,2,85546
2011,2,2,3,85579
2011,2,3,1,84666
2011,2,3,2,85495
2011,2,3,3,85207
2011,3,1,1,85899
2011,3,1,2,85646
2011,3,1,3,85594
2011,3,2,1,85496
2011,3,2,2,85137
2011,3,2,3,85350
2011,3,3,1,85348
2011,3,3,2,85387
2011,3,3,3,85527
2012,1,1,1,85684
2012,1,1,2,85721
2012,1,1,3,85585
2012,1,2,1,85146
2012,1,2,2,85653
2012,1,2,3,85809
2012,1,3,1,85812
2012,1,3,2,85656
2012,1,3,3,85110
2012,2,1,1,85544
2012,2,1,2,85339
2012,2,1,3,86277
2012,2,2,1,85814
2012,2,2,2,85110
2012,2,2,3,85904
2012,2,3,1,85136
2012,2,3,2,85676
2012,2,3,3,85590
2012,3,1,1,86101
