Year,HighAllPercentage
2000,3.709740646488711
2001,3.707794714949523
2002,3.707780430297289
2003,3.689510189755535
2004,3.702869898428567
2005,3.711731825176404
2006,3.706659199744784
2007,3.676278731086136
2008,3.694854469134434
2009,3.708648761320848
2010,3.708178120974557
2011,3.708962230399119
2012,3.694779081692953
2013,3.702992768634880
2014,3.698650186458909
2015,3.696638421768023
2016,3.706712735179280
2017,3.687796118684065
2018,3.682796806202021
2019,3.709381730724245
2020,3.677078344389375
2021,3.678329687872671
2022,3.707998025959756
2023,3.681238343416752
2024,3.707464418950940
2025,3.704387040310621
